name,stock,year,KOSPI,fnd_year,fiscal,ind,big4,forn,own,c_asset,inv,asset,sales,cogs,dep,tax,rec,ni,ocf,cash,tan,land,cip,intan,liab,c_liab,pti,total,equit,lag_asset,lag_liab,lag_equit,lag_sales,lag_total,lag1_ni,lag_c_asset,lag_c_liab,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS,GETR,CETR,GETR3,CETR3,GETR5,CETR5,TSTA,TSDA,A_GETR,A_CETR,A_GETR3,A_CETR3,A_GETR5,A_CETR5
동화약품,20,2023,1,1897,12,21,0,0.0486,0.3366,1.69E+11,48543263000,4.74E+11,3.35E+11,1.62E+11,2705867000,2007859000,55517915000,26166351000,28276051000,49675321000,1.58E+11,59438956000,33906109000,0.011242579,98235859000,72220674000,34900927000,2.87E+11,3.76E+11,4.30E+11,70083130000,3.60E+11,3.16E+11,2.59E+11,18208234000,2.00E+11,66243507000,26.78675808,0.163031779,3.023086217,0.060795894,0.060869809,0.072726548,0.065777526,0.150575652,4.844187086,0.242073649,0.76366614,0.812659866,0,0.250267736,0.167103212,0.22431203,0.407118617,0.238611406,0.255248367,-0.011798811,0.000326815,0.013526491,-0.084394178,-0.025423272,0.140550556,-0.021304992,-0.030651334
동화약품,20,2024,1,1897,12,21,0,0.0316,0.3364,1.74E+11,55800326000,5.33E+11,3.64E+11,1.79E+11,2881141000,1900665000,69328989000,10043699000,3442573000,16243372000,1.84E+11,59369218000,62494749000,0.08685501,1.52E+11,97140567000,14406499000,1.76E+11,3.81E+11,4.74E+11,98235859000,3.76E+11,3.35E+11,2.87E+11,26166351000,1.69E+11,72220674000,26.88419036,0.207307265,2.334448194,0.085524503,0.021195231,0.026738269,0.007264866,0.130145852,4.852030264,0.264060561,0.461710261,0.615302192,0,0.302835547,0.295608392,0.205460709,0.242065634,0.220286909,0.256187495,-0.067752099,-0.040320756,0.066094301,0.044111002,-0.044274593,-0.024502427,-0.039629489,-0.029712207
경방,50,2014,1,1919,12,47,0,0.0136,0.5582,83665762000,34615710000,1.28E+12,2.57E+11,2.09E+11,695298000,213992000,32233594000,14235818000,29566345000,4614857000,2.69E+11,2.09E+11,0,0.001225764,6.23E+11,3.89E+11,16934666000,4.99E+11,6.52E+11,1.26E+12,5.76E+11,6.86E+11,2.65E+11,2.99E+11,15103835000,79482802000,88576434000,27.86313029,0.456439924,0.897335763,-0.029468131,0.011287004,0.020764962,0.023441959,0.047840295,4.564348191,0.05300211,0.765777551,0.880304775,0,0.159368304,0.00965115,0.211583167,0.002465408,0.124617151,0.02884348,0.019300946,0.021308368,-0.084221674,-0.244821785,-0.069238895,-0.234654488,-0.145058168,-0.263914375
경방,50,2015,1,1919,12,47,0,0.0285,0.5611,83760073000,37595998000,1.26E+12,3.08E+11,2.09E+11,4050881000,1221815000,31721636000,21604723000,44076364000,3994381000,2.58E+11,2.05E+11,0,0.001117019,5.88E+11,1.44E+11,28221124000,5.28E+11,6.72E+11,1.28E+12,6.23E+11,6.52E+11,2.57E+11,4.99E+11,14235818000,83665762000,3.89E+11,27.87397389,0.488967749,0.215269012,0.197545123,0.016944769,0.033157925,0.034569469,0.041730703,4.574710979,0.054366413,0.785601203,0.885648707,0,0.234448493,0.012764658,0.197599843,0.004849246,0.208665139,0.031677935,0.033212997,0.03361652,-0.009141485,-0.244101818,-0.083222219,-0.234654488,-0.06101018,-0.263914375
경방,50,2016,1,1919,12,47,0,0.0332,0.5673,80538917000,33656952000,1.24E+12,3.14E+11,2.10E+11,4157531000,1298669000,31731834000,30977743000,61707854000,3140578000,2.49E+11,2.05E+11,0,0.001130761,5.47E+11,1.21E+11,33916322000,4.19E+11,6.90E+11,1.26E+12,5.88E+11,6.72E+11,3.08E+11,5.28E+11,21604723000,83760073000,1.44E+11,27.86174573,0.466642095,0.582007175,0.019926733,0.024595029,0.046113555,0.048993449,0.034699441,4.584967479,0.051915955,0.607688095,0.781094418,0,0.08664203,0.186332527,0.206291353,0.011597007,0.161430032,0.076952209,0.025630388,0.025019741,-0.156947948,-0.070533949,-0.07453071,-0.234654488,-0.108245287,-0.242166733
경방,50,2017,1,1919,12,47,0,0.0216,0.5766,71472590000,22476156000,1.20E+12,2.88E+11,1.88E+11,4237011000,1465095000,27595270000,25679379000,51272565000,4690160000,2.29E+11,1.94E+11,0,0.001151318,4.88E+11,2.49E+11,35942471000,3.81E+11,7.11E+11,1.24E+12,5.47E+11,6.90E+11,3.14E+11,4.19E+11,30977743000,80538917000,1.21E+11,27.84372992,0.44201137,0.667588928,-0.08211131,0.020758992,0.037203252,0.041448306,0.028456757,4.59511985,0.040477315,0.535992688,0.724874556,0,0.285542193,0.303450673,0.153771673,0.107502761,0.200849095,0.131932527,0.008083539,0.008321098,0.041952215,0.046584197,-0.12705039,-0.179408781,-0.068826224,-0.187186415
경방,50,2018,1,1919,12,47,0,0.0218,0.5862,88159568000,35574579000,1.23E+12,2.79E+11,1.78E+11,4256923000,1537839000,29371128000,29198252000,29443002000,3106555000,2.14E+11,1.92E+11,0,0.001141232,4.97E+11,1.03E+11,36158803000,2.96E+11,7.29E+11,1.20E+12,4.88E+11,7.11E+11,2.88E+11,3.81E+11,25679379000,71472590000,2.49E+11,27.81256209,0.407066576,0.286652955,-0.031303864,0.024350877,0.041068485,0.024554995,0.01837851,4.605170186,0.054163685,0.406048825,0.646893857,0,0.192499486,0.2912993,0.188976512,0.246590018,0.194991141,0.187091047,-0.024006163,-0.015123514,-0.051090492,0.034432824,-0.091845551,-0.040321525,-0.074684178,-0.132027896
경방,50,2019,1,1919,12,47,0,0.0187,0.5861,2.24E+11,13959690000,1.30E+12,2.54E+11,1.52E+11,4637964000,1703036000,24474870000,22223943000,65270564000,3943861000,64860661000,30742093000,4981471000,0.001115662,5.56E+11,1.51E+11,32508826000,2.54E+11,7.41E+11,1.23E+12,4.97E+11,7.29E+11,2.79E+11,2.96E+11,29198252000,88159568000,1.03E+11,27.8352227,0.405496348,0.856844818,-0.091487594,0.018119136,0.030477754,0.05321496,0.023755417,4.615120517,0.03133562,0.343463012,0.624831565,0,0.316372022,0.330531407,0.238881257,0.297356757,0.222273166,0.23307651,0.010420373,0.006624061,0.072782044,0.073664931,-0.041940805,0.010445214,-0.047402153,-0.086042433
경방,50,2020,1,1919,12,47,0,0.0296,0.5937,67253983000,4592891000,1.21E+12,2.26E+11,1.30E+11,9358091000,1853951000,20616548000,26011323000,46548127000,33763893000,41240134000,546643000,0,0.000966939,4.53E+11,2.23E+11,25491925000,3.40E+11,7.59E+11,1.30E+12,5.56E+11,7.41E+11,2.54E+11,2.54E+11,22223943000,2.24E+11,1.51E+11,27.8905085,0.428564663,1.486780867,-0.108421368,0.020066356,0.035115706,0.03590941,0.031392869,4.624972813,0.019447745,0.447613532,0.653973091,0,0.307856861,0.328172156,0.251143577,0.309872677,0.233479789,0.285763415,-0.012632706,-0.011116914,0.064266883,0.07130568,-0.029678485,0.022961134,-0.03619553,-0.033355527
경방,50,2021,1,1919,12,47,0,0.0203,0.5975,66773086000,10404211000,1.21E+12,2.72E+11,1.65E+11,9510554000,2033631000,32458565000,23305944000,-6107441000,9547470000,31524265000,546643000,151800000,0.001033831,4.47E+11,1.63E+11,32166079000,3.77E+11,7.67E+11,1.21E+12,4.53E+11,7.59E+11,2.26E+11,3.40E+11,26011323000,67253983000,2.23E+11,27.8236179,0.37357823,0.302169471,0.20196478,0.01922308,0.03068712,-0.005037506,0.025425585,4.634728988,0.035353839,0.491655843,0.678999722,0,0.275449644,1,0.312629521,0.329494492,0.272490551,0.536798507,-0.080131743,-0.062280336,0.031859666,0.743133524,0.031807459,0.04258295,0.002815232,0.217679565
